Category,Company Name,Address,City,State ,Zip Code ,County ,First Name ,Last Name ,Phone,Email,Website,Latitude,Longitude,Public Business Entity Y/N,Non Profit  Y/N,Profile of Service  Description
Religious Organization,Ebenezer AME Zion Church,"1716 23rd Ave, Seattle, WA 98122",Seattle,WA,98122,King,,,206.322.6620,,https://ebenezeramezion.org/,47.616990,-122.302240,,,
Religious Organization,All Souls Church,"7551 35th Ave SW, Seattle, WA 98126",Seattle,WA,98126,King,,,206.829.8349,,http://www.allsoulsseattle.org/,47.534470,-122.377170,,,
Religious Organization,Queen Anne Baptist Church,"2011 1st Ave N, Seattle, WA 98109",Seattle,WA,98109,King,,,206.282.7744,,http://www.queenannebaptist.org/,47.636870,-122.356000,,,
Religious Organization,Downtown Cornerstone Church,"2333 Western Ave, Seattle, WA 98121",Seattle,WA,98121,King,,,206.395.9563,,http://www.downtowncornerstone.org/,47.613120,-122.348640,,,
Religious Organization,City Center Baptist Church,"1400 6th Ave, Seattle, WA 98101",Seattle,WA,98101,King,,,,,http://citycenterbaptistchurch.org/,47.610870,-122.333450,,,
Religious Organization,Greater New Bethel Baptist Church,"5279 Rainier Ave S, Seattle, WA 98118",Seattle,WA,98118,King,,,206.723.2562,,http://gnbchurch.com/,47.553720,-122.281090,,,
Religious Organization,Tabernacle Missionary Baptist Church,"2801 S Jackson St, Seattle, WA 98144",Seattle,WA,98144,King ,,,206.329.9794,,http://www.tabernacleseattle.net/,47.598960,-122.296000,,,
Religious Organization,New Direction Missionary Church,"755 S Homer St, Seattle, WA 98108",Seattle,WA,98108,King ,,,206.763.2151,,https://m.facebook.com/pages/New-Direction-Missionary-Baptist-Church/122373317772700,47.550830,-122.322210,,,
Religious Organization,Damascus International Fellowship Baptist Church,"5261 Rainier Ave S, Seattle, WA 98118",Seattle,WA,98118,King ,,, 206.725.9310,,http://www.damascusbc.org/,47.554140,-122.282460,,,
Religious Organization,Church of Chibi-Dino,"2008 E Republican St, Seattle, WA 98112",Seattle,WA,98112,King ,,,206.491.3531,,https://church-of-chibi-dino.business.site/?utm_source=gmb&utm_medium=referral,47.623370,-122.305490,,,
Religious Organization,Seattle First Baptist Church,"1111 Harvard Ave, Seattle, WA 98122",Seattle,WA,98122,King ,,,206.325.6051,,http://www.seattlefirstbaptist.org/,47.611940,-122.321750,,,
Religious Organization,First African Methodist Episcopal Church,"1522 14th Ave, Seattle, WA 98122",Seattle,WA,98122,King ,,,206.324.3664,,http://www.fameseattle.org/,47.614710,-122.313750,,,
Religious Organization,New Hope Missionary Baptist Church,"124 21st Ave, Seattle, WA 98122",Seattle,WA,98122,King ,,,206.323.4212,,http://nhmbcseattle.org/,47.602020,-122.304660,,,
Religious Organization,Mount Zion Baptist Church,"1634 19th Ave, Seattle, WA 98122",Seattle,WA,98122,King ,,,,,https://mountzion.net/,47.616280,-122.306790,,,
Religious Organization,Renew Church Lynnwood,"2721 164th St SW, Lynnwood, WA 98087",Lynwood,WA,98087,King ,,,425.903.3385,,https://renewlynnwood.church/,47.850490,-122.270330,,,
Religious Organization,Bethel Ethiopian Church of Seattle,"2441 NE 125th St, Seattle, WA 98125",Seattle,WA,98125,King ,,,206.364.1981,,http://bethelseattle.com/,47.718910,-122.302590,,,
Religious Organization,Ethiopian Evangelical Church of Seattle Ambassadors,"503 N 50th St, Seattle, WA 98103",Seattle,WA,98103,King ,,,206.370.4666,,,47.664660,-122.352290,,,
Religious Organization,Saint Gebriel Ethiopian Orthodox Tewahido Church Seattle,"940 26th Ave S, Seattle, WA 98144",Seattle,WA,98144,King ,,,206.322.3268,,https://saint-gebriel-ethiopian-orthodox-tewahido-church-seattle.business.site/?utm_source=gmb&utm_medium=referral,47.593380,-122.298730,,,
Religious Organization,Debre Mihret St.Michael Ethiopian Orthodox Church,"6718 Martin Luther King Jr Way S, Seattle, WA 98118",Seattle,WA,98118,King ,,,,,,47.541800,-122.282970,,,
Religious Organization,Emmanuel Ethiopian Orthodox,"2101 14th Ave S, Seattle, WA 98144",Seattle,WA,98144,King ,,,206.324.9958,,https://www.facebook.com/Ammanuel.Tewahedo.Church/,47.584400,-122.315060,,,
Religious Organization,Kibre Qidusan Medhanealem Ethiopian Orthodox Tewahedo Church,"5500 S Roxbury St, Seattle, WA 98118",Seattle,WA,98118,King ,,,206.466.5779,,http://www.kibreqidusan.org/mission-statement/,47.517130,-122.263720,,,
Religious Organization,Debre gelilal baleweld werufail Ethiopian church in Seattle በስያትል ደብረ ገሊላ ቅዱስ ባልወልድ ወሩፋኤል ቤተክርስትያን,"3518 S Edmunds St, Seattle, WA 98118",Edmunds ,WA,98118,King ,,,,,,47.558870,-122.287970,,,
Religious Organization,Debre Amin Abune Teklehaimanot Orthodox Church,"2656 SW 104th St, Seattle, WA 98106",Seattle,WA,98106,King ,,,206) 303-0230,,,47.510210,-122.368030,,,
Religious Organization,Emmanuel Tigrean OrthodoxTewahedo church,"2101 14th Ave S #1, Seattle, WA 98144",Seattle,WA,98144,King ,,,206.734.1649,,,47.584370,-122.314960,,,
Religious Organization,Medhane-Alem Evangelical Church,"8445 Rainier Ave S, Seattle, WA 98118",Seattle,WA,98118,King ,,,206.720.0181,,https://medhanealemseattle.com/,47.526730,-122.270660,,,
Religious Organization,Berhane Hiwot Eriterean Church,"10510 Stone Ave N, Seattle, WA 98133",Seattle,WA,98133,King ,,,206.297.0580,,,47.706070,-122.341950,,,
Religious Organization,Mount Hermo Oromo Church of Seattle ,"7132 43rd Ave S, Seattle, WA 98118",Seattle,WA,98118,King,,,,,,47.537990,-122.279030,,,
Religious Organization,Gambia Masjid,"5903 Rainier Ave S, Seattle, WA 98118",Seattle,WA,98118,King,,,,,,47.549570,-122.277460,,,
Religious Organization,Ethiopian Islamic Cultural Center of Seattle,"8819 Renton Ave S, Seattle, WA 98118",Seattle,WA,98118,King,,,206.709.8888,,,47.523570,-122.276730,,,
Religious Organization,Abubakr Mosque of Washington,"5511 Martin Luther King Jr Way S, Seattle, WA 98118",Seattle,WA,98118,King,,,206.722.6777,,http://www.abubakrislamiccenter.com/,47.552130,-122.288960,,,
