Cuisine/Shop type,Buisness Name,Address,City,State ,Zip Code ,County ,Phone,Email,Website,Description,Latitude,Longitude
Burgers,Ooh Lala Burgers,"1312 N I St. Tacoma, WA 98403",Tacoma,WA,98403,King,425.698.3645,,https://www.facebook.com/pages/Ooh-Lala-Burgers/461270267659668?hc_location=ufi,,47.26722,-122.46787
Vegan,Quickie Too,"1324 Martin Luther King Jr Way, Tacoma, WA 98405",Tacoma,WA,98405,King,253.572.4549,,https://www.facebook.com/Quickie-Too-210575445619965/?hc_location=ufi,,47.24915,-122.45137
Southern,Southern Kitchen,"1716 6th Ave, Tacoma, WA 98405",Tacoma,WA,98405,King,253.627.4282,catering@southernkitchentacoma.com,https://www.facebook.com/SouthernKitchenTacoma/?hc_location=ufi,,47.256,-122.46237
Burgers,Straight from Philly,"1126 Commerce St Tacoma, WA 98402",Tacoma,WA,98402,King,877.585.1085,,https://www.facebook.com/straightfromphilly/?hc_location=ufi,,47.25227,-122.43936
Soul Food,Uncle Thurms Finger Licken Ribs & Chicken,"3709 S G St, Tacoma, WA 98418",Tacoma,WA,98418,King,253.475.1881,unclethurm@comcast.net,https://www.facebook.com/unclethurm/?hc_location=ufi,,47.22421,-122.4403
Chicken Joint,WingStop,"2505 S 38th St A104 Tacoma, WA 98409",Tacoma,WA,98409,King,2534482444,,https://www.wingstop.com/washington,,47.22317,-122.47007
East African,Juba Restaurant & Cafe,"14223 Tukwila International Blvd, Tukwila, WA 98168",Tukwila,WA,98168,King,206.242.2011,hello@jubacafe.com,https://juba-restaurant-cafe.business.site/,,47.47546,-122.28391
Somalian,Salama Restaurant and Café,"13820 Tukwila International Blvd. Tukwila, WA 98168",Tukwila,WA,98168,King,206.277.9621,,,,47.47906,-122.28388
Chicken Joint,WingStop,"17424 Southcenter Pkwy Tukwila, WA 98188",Tukwila,WA,98188,King,,,https://www.wingstop.com/washington,,47.44652,-122.26155
Southern,Gravy,"17629 Vashon Hwy SW Vashon, Washington 98070",Vashon,WA,98070,King,206.463.0489,,https://www.gravyvashon.com/,,47.44654,-122.46079
Chicken Joint,Ezell's Famous Chicken,"17323 140th Ave NE. Woodinville, WA 98072",Woodinville,WA,98072,King,425.485.8960,,https://ezellschicken.com/,,47.75348,-122.1538
Dessert Shop,Seattle Cinnamon Roll Co.,"13410 NE 175th St., Woodinville, WA 98072",Woodinville,WA,98072,King,425.939.0541,seattlecinnamonroll@gmail.com,https://www.facebook.com/SeattleCinnamonRoll/?ref=page_internal,,47.75523,-122.15969
Food Truck,BlackStar Kebab(food truck),"7727 63rd Ave NE, Seattle, WA 98115",Seattle,WA,98115,King,206.499.4019,roadup13@msn.com,http://www.blackstarkebab.com/,,47.68549,-122.26228
Food Truck,Cheech & Creations(food truck),,Seattle,WA,,King,804.690.3285,info@rvafoodtruck.com,https://www.facebook.com/pages/category/Food-Stand/Cheech-N-Changas-1236819229832247/,,,
Catering,Healthy Creations(catering),Beacon Hill,Seattle,WA,98144,King,253.214.9843,,https://www.healthycreationsseattle.com/,,,
Catering,JackieSue's Catering & Event Planning Services (catering),Beacon Hill,Seattle,WA,98144,King,,jackiesues16@gmail.com,https://www.jackiesuescateringandevents.com/,,,
Cajun,Jemil's Big Easy (food truck and catering),"5406 Delridge Way SW, Seattle, WA 98106",Seattle,WA,98106,King,206.423.5044,catering@jemilsbigeasy.com,http://jemilsbigeasy.com/,,47.55342,-122.36291
Catering,My Sweet Lil' Cakes(food truck and catering),,Seattle,WA,,King,.206.265.3002,mysweetlilcakes@gmail.com,https://www.centralcafeseattle.com/,,,
Vegan,Plum Truck(food truck),"1429 12th Ave Ste B, Seattle, WA 98122",Seattle,WA,98122,King,206.838.5333,,https://plumbistro.com/#truck,,47.61377,-122.31703
Food Truck,SoSo Good(food truck),"Ounces Taproom & Beer Garden, 3809 Delridge Way SW, Seattle, WA 98106",Seattle,WA,98106,King,480.290.8493,,https://www.facebook.com/eatsosogood/,,47.56972,-122.36264
Catering,The Sugah Shack(catering),,Seattle,WA,,King,253.470.8157,sugahpushah@gmail.com,https://www.facebook.com/Mysugahshack/,,,
Catering,That Brown Girl Cooks!(catering),,Seattle,WA,,King,,,http://www.thatbrowngirl.com/,,,
Food Truck,Tres' House of Cheesesteaks(food truck),,Seattle,WA,,King,,,https://www.facebook.com/Treshouseofcheesesteaks/,,,
Food Truck,Where Ya At Matt(food truck),,Seattle,WA,,King,206.251.3445,info@whereyaatmatt.com,https://whereyaatmatt.com/,,,
Coffee,Boon Boona Coffee," 724 S 3rd St, Renton, WA 98057",Renton,WA,98057,King,425.496.8618,,https://www.theoriginalphillys.com/,,47.47971,-122.20715
